"","y","Age","DailyRate","DistanceFromHome","HourlyRate","MonthlyIncome","MonthlyRate","NumCompaniesWorked","PercentSalaryHike","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","BusinessTravelTravel_Frequently","BusinessTravelTravel_Rarely","DepartmentResearchDevelopment","Education2","Education3","Education4","EducationFieldLifeSciences","EducationFieldMarketing","EducationFieldMedical","EducationFieldOther","EducationFieldTechnicalDegree","EnvironmentSatisfaction1","EnvironmentSatisfaction2","EnvironmentSatisfaction3","GenderMale","JobInvolvement1","JobInvolvement2","JobInvolvement3","JobLevel1","JobLevel2","JobLevel3","JobLevel4","JobRoleHealthcareRepresentative","JobRoleLaboratoryTechnician","JobRoleManager","JobRoleManufacturingDirector","JobRoleResearchDirector","JobRoleResearchScientist","JobRoleSalesExecutive","JobRoleSalesRepresentative","JobSatisfaction1","JobSatisfaction2","JobSatisfaction3","MaritalStatusMarried","MaritalStatusSingle","OverTimeNo","PerformanceRating3","RelationshipSatisfaction1","RelationshipSatisfaction2","RelationshipSatisfaction3","StockOptionLevel0","StockOptionLevel1","StockOptionLevel2","WorkLifeBalance1","WorkLifeBalance2","WorkLifeBalance3"
"1",1,41,0.742273930764395,-1.01056543769991,1.38266773166384,-0.108312653664899,0.725772953368072,2.1244129657626,-1.15016269006451,-0.421499018158432,-2.17124293591921,-0.164557108675315,-0.0632743665189888,-0.67891464284095,0.24575036340444,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
"2",0,49,-1.29733310688403,-0.147099660573606,-0.240594893288069,-0.291619349065811,1.48836963250397,-0.677818724751071,2.1285816300289,-0.164455435211784,0.155654110837465,0.488341541129577,0.764737373388255,-0.368589852736411,0.80626709607244,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"3",1,37,1.41388208046394,-0.887213183824724,1.28428817863645,-0.937334707140865,-1.67427109041944,1.32377533990155,-0.0572479167000435,-0.550020809631756,0.155654110837465,-1.14390508338265,-1.16729001972865,-0.67891464284095,-1.15554146826556,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
"4",0,33,1.46096899870855,-0.763860929949538,-0.48654377585654,-0.763373891922619,1.24278765108733,-0.677818724751071,-1.15016269006451,-0.421499018158432,0.155654110837465,0.161892216227131,0.764737373388255,0.252059727472666,-1.15554146826556,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1
"5",0,27,-0.524116344130311,-0.887213183824724,-1.27358020007565,-0.644638732329212,0.325789028257551,2.52473177869312,-0.876933996723397,-0.678542601105081,0.155654110837465,-0.817455758480207,-0.615282193123818,-0.0582650626318726,-0.595024735597561,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1
"6",0,32,0.501882821831349,-0.887213183824724,0.644821083958427,-0.729601279444351,-0.344082188787397,-1.0781375376816,-0.603705303382279,-0.421499018158432,-0.619978238081427,-0.00133244622409163,0.764737373388255,0.252059727472666,0.52600872973844,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0
"7",0,59,1.29244739656992,-0.763860929949538,0.743200636985816,-0.814139013823914,-0.611019125109838,0.523137714040501,1.30889555000555,0.0925881477348641,0.155654110837465,-0.98068042093143,-1.16729001972865,-0.67891464284095,-1.15554146826556,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"8",0,30,1.37670819763924,1.82653640142937,0.0545437657940965,-0.809253667364793,-0.137416802824075,-0.677818724751071,1.85535293668778,-1.3211515584717,-0.619978238081427,-0.98068042093143,-1.16729001972865,-0.67891464284095,-1.15554146826556,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
"9",0,38,-1.45346341474776,1.70318414755419,-1.07682109402087,0.642119043729563,-0.776379532505372,-1.0781375376816,1.58212424334666,-0.164455435211784,-0.619978238081427,0.325116878678354,0.764737373388255,-0.368589852736411,1.08652546240644,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1
"10",0,36,1.23049092519543,2.19659316305493,1.38266773166384,-0.268891867712512,0.318061906416638,1.32377533990155,-0.603705303382279,0.735197105101485,0.155654110837465,-0.00133244622409163,0.764737373388255,1.49335888789082,0.80626709607244,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0
